,dataset,challenge,balance_class,process_approach,imputation,patient_group,drug_group,train_test_rate,remove_low_DAS,random_state,model_id,MAE,MSE,RMSE,R2,Pearson_Correlation,Accuracy,F1-Score
0,validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.8,True,2022,base Random Forest,,,,,,0.4516129032258064,0.4551656920077973
1,validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.8,True,2022,base Random Forest,,,,,,0.3225806451612903,0.2352941176470588
2,validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.8,True,2022,base Random Forest,,,,,,0.5483870967741935,0.5344655344655345
3,validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.8,True,2022,base Random Forest,,,,,,0.2580645161290322,0.2333333333333333
4,validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.8,True,2022,base Random Forest,,,,,,0.3333333333333333,0.2357142857142856
5,validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.8,True,2022,base Random Forest,,,,,,0.4333333333333333,0.4333333333333333
6,validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.8,True,2022,base Random Forest,,,,,,0.2666666666666666,0.252613087395696
7,validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.8,True,2022,base Random Forest,,,,,,0.4333333333333333,0.3807972195068969
8,validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.8,True,2022,base Random Forest,,,,,,0.6333333333333333,0.6159961685823755
9,validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.8,True,2022,base Random Forest,,,,,,0.5666666666666667,0.5290404040404041
10,validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.8,True,2022,base Random Forest,,,,,,0.3548387096774194,0.346711259754738
11,validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.8,True,2022,base Random Forest,,,,,,0.4193548387096774,0.3752052545155993
12,validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.8,True,2022,base Random Forest,,,,,,0.2903225806451613,0.2634860395771212
13,validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.8,True,2022,base Random Forest,,,,,,0.4838709677419355,0.457008547008547
14,validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.8,True,2022,base Random Forest,,,,,,0.5333333333333333,0.492063492063492
15,validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.8,True,2022,base Random Forest,,,,,,0.4333333333333333,0.4148148148148147
16,validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.8,True,2022,base Random Forest,,,,,,0.4333333333333333,0.3658692185007974
17,validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.8,True,2022,base Random Forest,,,,,,0.5,0.3812636165577341
18,validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.8,True,2022,base Random Forest,,,,,,0.4666666666666667,0.3643892339544514
19,validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.8,True,2022,base Random Forest,,,,,,0.4666666666666667,0.4084249084249085
20,validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.8,True,2022,base Random Forest,,,,,,0.4838709677419355,0.4349206349206349
21,validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.8,True,2022,base Random Forest,,,,,,0.3548387096774194,0.3485958485958486
22,validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.8,True,2022,base Random Forest,,,,,,0.4516129032258064,0.4080267558528428
23,validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.8,True,2022,base Random Forest,,,,,,0.3225806451612903,0.251661918328585
24,validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.8,True,2022,base Random Forest,,,,,,0.4666666666666667,0.4427350427350426
25,validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.8,True,2022,base Random Forest,,,,,,0.4333333333333333,0.4118282738972394
26,validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.8,True,2022,base Random Forest,,,,,,0.4333333333333333,0.3857905982905983
27,validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.8,True,2022,base Random Forest,,,,,,0.4333333333333333,0.3968253968253968
28,validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.8,True,2022,base Random Forest,,,,,,0.5,0.4425019425019425
29,validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.8,True,2022,base Random Forest,,,,,,0.5,0.4717868338557993
30,validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.8,True,2022,Random forest,,,,,,0.4193548387096774,0.3856050382366172
31,validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.8,True,2022,Random forest,,,,,,0.5161290322580645,0.4883780332056193
32,validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.8,True,2022,Random forest,,,,,,0.4516129032258064,0.4294871794871795
33,validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.8,True,2022,Random forest,,,,,,0.3225806451612903,0.3060728744939271
34,validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.8,True,2022,Random forest,,,,,,0.4,0.334508547008547
35,validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.8,True,2022,Random forest,,,,,,0.5666666666666667,0.529868578255675
36,validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.8,True,2022,Random forest,,,,,,0.3333333333333333,0.3049728049728049
37,validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.8,True,2022,Random forest,,,,,,0.5,0.4764203117144294
38,validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.8,True,2022,Random forest,,,,,,0.6333333333333333,0.5956349206349207
39,validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.8,True,2022,Random forest,,,,,,0.4666666666666667,0.4223410576351753
40,validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.8,True,2022,Random forest,,,,,,0.3870967741935484,0.3703703703703704
41,validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.8,True,2022,Random forest,,,,,,0.3548387096774194,0.3122015915119363
42,validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.8,True,2022,Random forest,,,,,,0.3225806451612903,0.3027017258516309
43,validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.8,True,2022,Random forest,,,,,,0.2903225806451613,0.2805860805860805
44,validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.8,True,2022,Random forest,,,,,,0.5333333333333333,0.493899917287014
45,validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.8,True,2022,Random forest,,,,,,0.4666666666666667,0.4372046254399195
46,validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.8,True,2022,Random forest,,,,,,0.4666666666666667,0.420211161387632
47,validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.8,True,2022,Random forest,,,,,,0.4333333333333333,0.3101851851851852
48,validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.8,True,2022,Random forest,,,,,,0.5,0.4333333333333333
49,validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.8,True,2022,Random forest,,,,,,0.5,0.4464285714285714
