dataset,challenge,balance_class,process_approach,imputation,patient_group,drug_group,train_test_rate,remove_low_DAS,random_state,model_id,MAE,MSE,RMSE,R2,Pearson_Correlation,Accuracy,F1-Score
validation,regression,0,SC,IterativeImputer,['bionaive TNF'],all,0.6,False,2022,Linear,0.8793817961006489,1.0375334170981574,1.0185938430494057,0.40092714944042884,0.7564976125500107,0.3333333333333333,0.2638888888888889
validation,regression,0,SC,IterativeImputer,['bionaive TNF'],all,0.6,False,2022,Linear,1.1147004267066227,1.7071050292104026,1.3065622944239599,0.17268234380022085,0.45467719301221393,0.3333333333333333,0.31010101010101015
validation,regression,0,SC,IterativeImputer,['bionaive TNF'],all,0.6,False,2022,Linear,0.6681907625491478,0.9152563540201616,0.9566903124941538,0.36563254489283525,0.63353913451982,0.5833333333333334,0.35650623885918
validation,regression,0,SC,IterativeImputer,['bionaive TNF'],all,0.6,False,2022,Linear,0.9237150954439285,1.1997304274643361,1.095322065633819,-0.0061742129531694445,0.26757008432006296,0.2916666666666667,0.23148148148148148
validation,regression,0,SC,IterativeImputer,['bionaive TNF'],all,0.6,False,2022,Linear,1.0288026915024564,1.6887465591569468,1.2995178179451587,-0.29438795357085,0.04089966502996615,0.375,0.34761904761904766
validation,regression,0,SC,IterativeImputer,['bionaive TNF'],all,0.6,False,2022,Linear,0.7866279855384141,1.053574568329882,1.0264378053880723,-0.2215625440244826,0.20150705016637813,0.391304347826087,0.33523266856600187
validation,regression,0,SC,IterativeImputer,['bionaive TNF'],all,0.6,False,2022,Linear,0.8472850611646561,1.1936390669859023,1.0925379018532502,-0.11995425841828067,0.3318338037747907,0.6086956521739131,0.5416666666666666
validation,regression,0,SC,IterativeImputer,['bionaive TNF'],all,0.6,False,2022,Linear,1.2044599750246772,1.9753989879865617,1.4054888786420765,-0.47832960851834194,0.07502649370411904,0.4782608695652174,0.4051282051282051
validation,regression,0,SC,IterativeImputer,['bionaive TNF'],all,0.6,False,2022,Linear,1.060847812646049,1.6891261349044318,1.2996638545810342,0.17851581660241578,0.4465252130656788,0.391304347826087,0.29333333333333333
validation,regression,0,SC,IterativeImputer,['bionaive TNF'],all,0.6,False,2022,Linear,0.9349419084048125,1.321264875568652,1.149462863936305,0.2807998532254846,0.5917058358834485,0.30434782608695654,0.23076923076923075
validation,regression,0,SC,IterativeImputer,['bionaive TNF'],all,0.6,False,2022,Linear,0.8404178710671767,0.947060411542377,0.9731702890770849,0.25888399500808423,0.5736466950023289,0.5416666666666666,0.5343358395989976
validation,regression,0,SC,IterativeImputer,['bionaive TNF'],all,0.6,False,2022,Linear,1.0859646475949798,1.949324013693898,1.3961819414724923,-0.09972568930247094,0.2261607850332167,0.3333333333333333,0.24425287356321843
validation,regression,0,SC,IterativeImputer,['bionaive TNF'],all,0.6,False,2022,Linear,1.0135182520284538,1.6069664764173346,1.2676618146877086,0.006911333776031037,0.4595075673481524,0.4166666666666667,0.37128205128205133
validation,regression,0,SC,IterativeImputer,['bionaive TNF'],all,0.6,False,2022,Linear,0.9252466335143857,1.2160638679382243,1.1027528589571756,0.06717339781456388,0.30857576093824524,0.375,0.34400161030595816
validation,regression,0,SC,IterativeImputer,['bionaive TNF'],all,0.6,False,2022,Linear,1.0062516370264547,1.6410914999498534,1.281050935735911,0.11875289191794325,0.41043576629432654,0.4166666666666667,0.39627039627039623
validation,regression,0,SC,IterativeImputer,['bionaive TNF'],all,0.6,False,2022,Linear,0.963416212976797,1.4709101721099018,1.2128108558674358,0.057643715476557666,0.4765000304340966,0.391304347826087,0.38986928104575164
validation,regression,0,SC,IterativeImputer,['bionaive TNF'],all,0.6,False,2022,Linear,0.6922841589206612,0.8267227133162475,0.9092429341579991,0.11514969962382315,0.41850781166209566,0.5652173913043478,0.5626984126984128
validation,regression,0,SC,IterativeImputer,['bionaive TNF'],all,0.6,False,2022,Linear,1.1240617169848934,1.6611850522663993,1.2888696800943062,-0.19116383810547943,0.024792538101961935,0.21739130434782608,0.15555555555555556
validation,regression,0,SC,IterativeImputer,['bionaive TNF'],all,0.6,False,2022,Linear,0.83431187311075,1.0522435501104481,1.0257892327912437,0.18801412435739673,0.6203946195875231,0.4782608695652174,0.3333333333333333
validation,regression,0,SC,IterativeImputer,['bionaive TNF'],all,0.6,False,2022,Linear,0.9656101625977364,1.327691044783286,1.152254765571957,0.21780477539589305,0.5036636490559524,0.43478260869565216,0.3395061728395062
validation,regression,0,SC,IterativeImputer,['bionaive TNF'],all,0.6,False,2022,Linear,1.0564804349519263,1.4604710382680715,1.2084994986627307,0.001653555336991408,0.34068376297034897,0.4166666666666667,0.38331475287997024
validation,regression,0,SC,IterativeImputer,['bionaive TNF'],all,0.6,False,2022,Linear,0.8274795828062901,1.2091940616152987,1.0996336033494514,-0.23659155519753616,0.18333555686689967,0.5,0.3806787082649152
validation,regression,0,SC,IterativeImputer,['bionaive TNF'],all,0.6,False,2022,Linear,0.9846451525696404,1.6983059123800528,1.3031906661651826,-0.20829100084976404,-0.0032240882014953967,0.4583333333333333,0.40740740740740744
validation,regression,0,SC,IterativeImputer,['bionaive TNF'],all,0.6,False,2022,Linear,0.9417661494456242,1.2465936228122214,1.1165095713034534,0.1392276022174388,0.5127839123055333,0.4166666666666667,0.4077618288144604
validation,regression,0,SC,IterativeImputer,['bionaive TNF'],all,0.6,False,2022,Linear,1.0214170631794959,1.5592358122938983,1.248693642289372,0.3295986536517467,0.6004756470079888,0.4583333333333333,0.4481481481481482
validation,regression,0,SC,IterativeImputer,['bionaive TNF'],all,0.6,False,2022,Linear,1.2125001392792525,2.1697341194188824,1.4730017377514808,0.10820501477526212,0.33304918967492225,0.30434782608695654,0.23611111111111108
validation,regression,0,SC,IterativeImputer,['bionaive TNF'],all,0.6,False,2022,Linear,0.9163928606431596,1.1714054603693143,1.0823148619368184,-0.04103732633803747,0.2973719249144489,0.4782608695652174,0.435024154589372
validation,regression,0,SC,IterativeImputer,['bionaive TNF'],all,0.6,False,2022,Linear,0.856308522225595,1.115615084727931,1.0562268150013665,0.07848353770288496,0.4520892267332335,0.34782608695652173,0.23344556677890008
validation,regression,0,SC,IterativeImputer,['bionaive TNF'],all,0.6,False,2022,Linear,0.7684191791001471,0.9624306320607615,0.9810354897050165,0.0842410835139219,0.4393884873807471,0.43478260869565216,0.3944258639910813
validation,regression,0,SC,IterativeImputer,['bionaive TNF'],all,0.6,False,2022,Linear,1.016067960432773,1.3080773231858571,1.1437120805455616,0.24755723780511518,0.5646232906210208,0.391304347826087,0.3589225589225589
validation,regression,0,SC,IterativeImputer,['bionaive TNF'],all,0.6,False,2022,Deep Learning,0.8793817961006489,1.0375334170981574,1.0185938430494057,0.40092714944042884,0.7564976125500107,0.3333333333333333,0.2638888888888889
validation,regression,0,SC,IterativeImputer,['bionaive TNF'],all,0.6,False,2022,Deep Learning,1.1147004267066227,1.7071050292104026,1.3065622944239599,0.17268234380022085,0.45467719301221393,0.3333333333333333,0.31010101010101015
validation,regression,0,SC,IterativeImputer,['bionaive TNF'],all,0.6,False,2022,Deep Learning,0.6681907625491478,0.9152563540201616,0.9566903124941538,0.36563254489283525,0.63353913451982,0.5833333333333334,0.35650623885918
validation,regression,0,SC,IterativeImputer,['bionaive TNF'],all,0.6,False,2022,Deep Learning,0.9237150954439285,1.1997304274643361,1.095322065633819,-0.0061742129531694445,0.26757008432006296,0.2916666666666667,0.23148148148148148
